BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
,,,,,,1053,145,0.0511995
,,,,,,1054,81,0.0286011
,,,,,,1055,84,0.0296604
,,,,,,1056,104,0.0367224
,,,,,,1057,53,0.0187143
,,,,,,1058,54,0.0190674
,,,,,,1059,111,0.0391941
,,,,,,1060,63,0.0222453
,,,,,,1061,16,0.0056496
,,,,,,1062,49,0.0173019
,,,,,,1063,95,0.0335445
,,,,,,1064,18,0.0063558
,,,,,,1065,81,0.0286011
,,,,,,1066,66,0.0233046
,,,,,,1067,43,0.0151833
,,,,,,1068,107,0.0377817
,,,,,,1069,23,0.0081213
,,,,,,1070,31,0.0109461
,,,,,,1071,94,0.0331914
,,,,,,1072,94,0.0331914
,,,,,,1073,94,0.0331914
,,,,,,1075,27,0.0095337
,,,,,,1101,27,0.0095337
,,,,,,1102,18,0.0063558
,,,,,,1103,21,0.0074151
,,,,,,1104,79,0.0278949
,,,,,,1105,14,0.0049434
,,,,,,1106,51,0.0180081
,,,,,,1107,108,0.0381348
,,,,,,1108,25,0.0088275
,,,,,,1109,92,0.0324852
,,,,,,1110,91,0.0321321
,,,,,,1111,35,0.0123585
,,,,,,1112,19,0.0067089
,,,,,,1113,66,0.0233046
,,,,,,1115,67,0.0236577
,,,,,,1116,33,0.0116523
,,,,,,1117,18,0.0063558
,,,,,,1118,26,0.0091806
,,,,,,1119,183,0.0646173
,,,,,,1120,37,0.0130647
,,,,,,1121,4,0.0014124
,,,,,,1122,18,0.0063558
,,,,,,1123,18,0.0063558
,,,,,,1124,48,0.0169488
,,,,,,1125,58,0.0204798
,,,,,,1126,25,0.0088275
,,,,,,1127,85,0.0300135
,,,,,,1128,71,0.0250701
,,,,,,1129,14,0.0049434
,,,,,,1130,43,0.0151833
,,,,,,1131,96,0.0338976
,,,,,,1132,86,0.0303666
,,,,,,1133,140,0.049434
,,,,,,1134,50,0.017655
,,,,,,1135,27,0.0095337
,,,,,,1136,60,0.021186
,,,,,,1137,23,0.0081213
,,,,,,1138,62,0.0218922
,,,,,,1139,95,0.0335445
,,,,,,1140,30,0.010593
,,,,,,1141,139,0.0490809
,,,,,,1142,105,0.0370755
,,,,,,1143,9,0.0031779
,,,,,,1144,57,0.0201267
,,,,,,1145,17,0.0060027
,,,,,,1146,30,0.010593
,,,,,,1147,99,0.0349569
,,,,,,1148,30,0.010593
,,,,,,1149,78,0.0275418
,,,,,,1150,50,0.017655
,,,,,,1151,83,0.0293073
,,,,,,1152,56,0.0197736
,,,,,,1153,58,0.0204798
,,,,,,1154,23,0.0081213
,,,,,,1155,19,0.0067089
,,,,,,1156,164,0.0579084
,,,,,,1157,111,0.0391941
,,,,,,1158,159,0.0561429
,,,,,,1159,244,0.0861564
,,,,,,1160,223,0.0787413
,,,,,,1161,178,0.0628518
,,,,,,1162,38,0.0134178
,,,,,,1164,66,0.0233046
,,,,,,1165,25,0.0088275
,,,,,,1166,11,0.0038841
,,,,,,1167,131,0.0462561
,,,,,,1168,116,0.0409596
,,,,,,1169,29,0.0102399
,,,,,,1170,36,0.0127116
,,,,,,1171,29,0.0102399
,,,,,,1173,90,0.031779
,,,,,,1174,44,0.0155364
,,,,,,1175,48,0.0169488
,,,,,,1176,39,0.0137709
,,,,,,1177,1,0.0003531
,,,,,,1201,3,0.0010593
,,,,,,1202,31,0.0109461
,,,,,,1203,91,0.0321321
,,,,,,1204,9,0.0031779
,,,,,,1205,112,0.0395472
,,,,,,1206,15,0.0052965
,,,,,,1207,98,0.0346038
,,,,,,1208,188,0.0663828
,,,,,,1209,127,0.0448437
,,,,,,1210,156,0.0550836
,,,,,,1211,12,0.0042372
,,,,,,1212,185,0.0653235
,,,,,,1213,54,0.0190674
,,,,,,1214,94,0.0331914
,,,,,,1215,90,0.031779
,,,,,,1216,22,0.0077682
,,,,,,1217,27,0.0095337
,,,,,,1218,51,0.0180081
,,,,,,1219,71,0.0250701
,,,,,,1220,53,0.0187143
,,,,,,1221,114,0.0402534
,,,,,,1222,23,0.0081213
,,,,,,1223,36,0.0127116
,,,,,,1224,27,0.0095337
,,,,,,1225,125,0.0441375
,,,,,,1226,23,0.0081213
,,,,,,1227,106,0.0374286
,,,,,,1228,151,0.0533181
,,,,,,1230,36,0.0127116
,,,,,,1231,110,0.038841
,,,,,,1232,117,0.0413127
,,,,,,1233,119,0.0420189
,,,,,,1234,123,0.0434313
,,,,,,1235,188,0.0663828
,,,,,,1236,83,0.0293073
,,,,,,1237,53,0.0187143
,,,,,,1238,124,0.0437844
,,,,,,1239,52,0.0183612
,,,,,,1240,22,0.0077682
,,,,,,1241,82,0.0289542
,,,,,,1242,81,0.0286011
,,,,,,1243,59,0.0208329
,,,,,,1244,24,0.0084744
,,,,,,1245,131,0.0462561
,,,,,,1246,167,0.0589677
,,,,,,1247,75,0.0264825
,,,,,,1248,93,0.0328383
,,,,,,1249,58,0.0204798
,,,,,,1250,96,0.0338976
,,,,,,1251,48,0.0169488
,,,,,,1252,172,0.0607332
,,,,,,1253,30,0.010593
,,,,,,1254,182,0.0642642
,,,,,,1255,180,0.063558
,,,,,,1256,35,0.0123585
,,,,,,1257,31,0.0109461
,,,,,,1258,157,0.0554367
,,,,,,1259,124,0.0437844
,,,,,,1260,88,0.0310728
,,,,,,1261,44,0.0155364
,,,,,,1262,74,0.0261294
,,,,,,1263,113,0.0399003
,,,,,,1264,139,0.0490809
,,,,,,1266,60,0.021186
,,,,,,1267,30,0.010593
,,,,,,1268,255,0.0900405
,,,,,,1269,56,0.0197736
,,,,,,1270,213,0.0752103
,,,,,,1271,115,0.0406065
,,,,,,1272,54,0.0190674
,,,,,,1273,208,0.0734448
,,,,,,1274,52,0.0183612
,,,,,,1275,98,0.0346038
,,,,,,1276,180,0.063558
,,,,,,1277,35,0.0123585
,,,,,,1278,131,0.0462561
,,,,,,1279,113,0.0399003
,,,,,,1280,39,0.0137709
,,,,,,1281,10,0.003531
,,,,,,1282,71,0.0250701
,,,,,,1283,132,0.0466092
,,,,,,1284,13,0.0045903
,,,,,,1285,14,0.0049434
,,,,,,1286,11,0.0038841
,,,,,,1287,143,0.0504933
,,,,,,1288,93,0.0328383
,,,,,,1289,117,0.0413127
,,,,,,1290,103,0.0363693
,,,,,,1291,148,0.0522588
,,,,,,1292,85,0.0300135
,,,,,,1293,47,0.0165957
,,,,,,1294,57,0.0201267
,,,,,,1295,252,0.0889812
,,,,,,1296,132,0.0466092
,,,,,,1297,77,0.0271887
,,,,,,1298,55,0.0194205
,,,,,,1299,81,0.0286011
,,,,,,1301,35,0.0123585
,,,,,,1302,16,0.0056496
,,,,,,1303,89,0.0314259
,,,,,,1304,9,0.0031779
,,,,,,1305,25,0.0088275
,,,,,,1306,44,0.0155364
,,,,,,1307,173,0.0610863
,,,,,,1308,1,0.0003531
,,,,,,1309,20,0.007062
,,,,,,1310,39,0.0137709
,,,,,,1311,2,0.0007062
,,,,,,1312,29,0.0102399
,,,,,,1313,71,0.0250701
,,,,,,1314,31,0.0109461
,,,,,,1315,70,0.024717
,,,,,,1316,64,0.0225984
,,,,,,1317,59,0.0208329
,,,,,,1318,43,0.0151833
,,,,,,1319,1,0.0003531
,,,,,,1320,39,0.0137709
,,,,,,1321,61,0.0215391
,,,,,,1322,100,0.03531
,,,,,,1323,184,0.0649704
,,,,,,1324,32,0.0112992
,,,,,,1325,63,0.0222453
,,,,,,1326,9,0.0031779
,,,,,,1327,112,0.0395472
,,,,,,1328,47,0.0165957
,,,,,,1329,141,0.0497871
,,,,,,1330,32,0.0112992
,,,,,,1331,60,0.021186
,,,,,,1332,17,0.0060027
,,,,,,1333,81,0.0286011
,,,,,,1334,58,0.0204798
,,,,,,1335,43,0.0151833
,,,,,,1336,39,0.0137709
,,,,,,1337,24,0.0084744
,,,,,,1338,55,0.0194205
,,,,,,1339,80,0.028248
,,,,,,1340,25,0.0088275
,,,,,,1341,174,0.0614394
,,,,,,1342,79,0.0278949
,,,,,,1343,49,0.0173019
,,,,,,1344,17,0.0060027
,,,,,,1345,18,0.0063558
,,,,,,1347,84,0.0296604
,,,,,,1348,57,0.0201267
,,,,,,1349,38,0.0134178
,,,,,,1350,130,0.045903
,,,,,,1351,18,0.0063558
,,,,,,1352,103,0.0363693
,,,,,,1353,100,0.03531
,,,,,,1354,26,0.0091806
,,,,,,1355,111,0.0391941
,,,,,,1356,41,0.0144771
,,,,,,1357,42,0.0148302
,,,,,,1358,98,0.0346038
,,,,,,1359,150,0.052965
,,,,,,1360,75,0.0264825
,,,,,,1361,19,0.0067089
,,,,,,1362,101,0.0356631
,,,,,,1365,30,0.010593
,,,,,,1366,90,0.031779
,,,,,,1367,195,0.0688545
,,,,,,1369,1,0.0003531
,,,,,,1370,7,0.0024717
,,,,,,1371,47,0.0165957
,,,,,,1372,28,0.0098868
,,,,,,1373,187,0.0660297
,,,,,,1374,202,0.0713262
,,,,,,1375,72,0.0254232
,,,,,,1376,34,0.0120054
,,,,,,1377,68,0.0240108
,,,,,,1378,63,0.0222453
,,,,,,1379,216,0.0762696
,,,,,,(blank),,
,,,,,,Grand Total,36942,13.0442202
