Nagulaguddam; 1217111013031100;01.07.2014;1050;5000;4;20;
Pothurajukaluva;1217111013031100;01.07.2014;1062;5000;5;25;
Nayanavaripalli;1217111018041500;23.04.2014;653;5000;6;30;
Sivapuram;1217111010021000;25.01.2015;1125;5000;6;30;
Anandaraopeta;1217113010010900;25.04.2014;535;5000;6;30;
Akuledu;1217111004010500;01.02.2015;1058;5000;7;35;
Cherlopalli; 1217328009011300;01.09.2014;1486;5000;9;45;
Chalavemula;1217328015012200;17.02.2015;1247;5000;6;30;
Nagireddipalli;1217328050050600;01.09.2014;462;5000;4;20;
Kadavakallu;1217328010011500 ;01.09.2014;2982;5000;16;15;
Goparajupalli;1217328007041100 ;01.09.2014;670;5000;6;20;
Arakativemula;1217328002010200 ;01.09.2014;1269;5000;8;40;
Garuguchinthalapalli;1217328017232400 ;01.09.2014;1696;5000;18;90;
Chinthakunta;1217328003010400 ;01.09.2014;742;5000;6;30;
Balapuram;1217328005030600 ;01.09.2014;561;5000;4;20;
Surepalli;1217328001010100;01.04.2015;1108;5000;3;15;
Gollapalli;1217328001020100;01.09.2014;500;5000;4;20;
Rangamanayunipalli; 1217328014052100;04.01.2015;650;5000;5;25;
Kondugarikunta; 1217328014042000;01.09.2014;462;5000;4;20;
Thurakavaripalli; 1217328014022000;07.08.2014;118;5000;1;5;
Takkalapalli;1217328005070700 ;15.01.2015;784;5000;6;30;
Kothapalli; 1217328014032000;07.08.2014;47;5000;1;5;
C.Venganapalli;1217111014011100;01.04.2014;762;5000;6;30;
Putlur; 1217328005010500;28.05.2014;2794;5000;5;25;
P M Kondapuram;1217329004020400;01.08.2014;463;5000;6;30;
Vennapusapalli; 1217329009010900;06.04.2015;1789;5000;6;30;
Krishnapuram;1217329006020600;01.04.2015;511;5000;1;5;
Boppepalli;1217329012011100;01.09.2014;630;5000;5;25;
Thimmampalli; 1217329017021700;16.08.2014;2367;5000;15;75;
Peddamallepalli;1217329004010400 ;16.08.2014;612;5000;6;30;
G.Lakshmampalli;1217329018021900 ;16.08.2014;163;5000;2;10;
Vasapuram;1217329012021100;16.08.2014;837;5000;8;40;
Bukkapuram;1217329013011300;16.08.2014;1320;5000;11;55;
Nittur; 1217329003010300;01.09.2014;711;5000;8;40;
Pathapalli; 1217329008010800;01.09.2014;937;5000;9;45;
S.Thirumalapuram; 1217329005010500;21.04.2014;790;5000;8;40;
Medikurthy; 1217329002010200;17.11.2014;620;5000;5;25;
Kuchivaripalli; 1217329012031200;01.11.2014;952;4000;8;40;
Venkatampalli ; 1217329016031600;16.08.2014;635;5000;7;35;
Achuthapuramu; 1217329011021000;01.12.2014;320;5000;5;25;
Yellanur;1217329006010600;15.03.2015;5947;5000;10;50;
S.Kothapalli;1217329019022100;01.07.2014;546;5000;6;30;
Goddumarri;1217329018011800;01.07.2014;1662;5000;7;35;
Chinthakayamanda;1217329017011700;01.01.2015;1133;5000;3;15;
Chiyyedu;1217225020012400;01.03.2012;2676;5000;16;80;
Itikalapalle;1217225016012000;16.12.2013;1960;5000;9;60;
Kakkalapalli (Rural);1217225012011400;01.05.2014;2625;5000;10;50;
N.N.Kunta;1217225004020500;01.08.2014;1656;5000;6;30;
Chinnakunta;1217225016022000;21.02.2015;887;5000;4;20;
Pulakunta;1217225020022500;21.02.2015;2339;5000;9;45;
Rudrampeta;1217225012021500;02.02.2015;17603;5000;15;75;
MB Palli ;1217225010021100;02.03.2015;364;5000;3;15;
 N.R. Colony;1217225005020700;02.03.2015;1568;5000;7;45;
Papampeta Dwaraka Vilas;1217225013010300;10.04.2015;925;5000;6;30;
Kattakindapalli;1217225010031200;01.03.2015 ;1369;5000;6;30;
Ontikonda ;1216636007050900;24-03-2014;759;5000;3;20;
Parsannayapeta ;1216636008051200;11.08.2014;490;5000;3;20;
Amidalakunta  ;1216636008061200;12.07.2014;400;5000;1.5;10;
bramhanapalli ;1216636011011400;12.10.2014;247;5000;1.5;10;
Venkatampalli;1216636007030900;02.11.2014;1854;5000;7;40;
Narsingarayanipalli;1216636008041100;12.01.2015;592;5000;3;20;
Basinepalli;1216636004020500;17.02.2015;990;5000;3;20;
Pallenagaripalli;1216636004050400;15.04.2015;405;5000;2;15;
Chandracherla;1216633010021700;01.04.2015;1472;5000;5;30;
Nemalivaram;1216633006021000;01.04.2015;650;5000;2;15;
Thalimadugula;1216633007021200;05.04.2015;1187;5000;3;15;
Balepalem;1216633008041400;10.04.2015;992;5000;3;15;
Daduluru;1216633010011700;01.05.2015;711;5000;5;30;
C.N.Kota;1216633001030100;06.05.2015;946;5000;3;20;
Maddalacheruvu;1216633003010500;10.05.2015;516;5000;2;10;
Mamillapalli;1216633009011500;10.05.2015;512;5000;1;15;
M.Bandameedapalli;1217232009011200;01.03.2015;3550;5000;8;40;
