District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Mandal,Count,Capacity,,Sub basin,Count,Capacity
,,,,GUNTAKAL,16,0.005648,,Araveedu,6,0.002118,,,,,,,,,,817,10,0.00353
,,,,GURRAMKONDA,32,0.011296,,Aravetipalle,1,0.000353,,,,,,,,,,818,11,0.003883
,,,,HALAHARVI,7,0.002471,,Ardhaveedu,1,0.000353,,,,,,,,,,819,56,0.019768
,,,,HANUMANTHUNIPADU,50,0.01765,,Arigalavaripalle,2,0.000706,,,,,,,,,,820,48,0.016944
,,,,HINDUPUR,32,0.011296,,Arikela,9,0.003177,,,,,,,,,,821,17,0.006001
,,,,HIRAMANDALAM,3,0.001059,,Arimakulapalle,2,0.000706,,,,,,,,,,823,31,0.010943
,,,,HOLAGUNDA,7,0.002471,,Arinam Akkivalasa,4,0.001412,,,,,,,,,,824,79,0.027887
,,,,ICHCHAPURAM,12,0.004236,,Arivemula,1,0.000353,,,,,,,,,,825,19,0.006707
,,,,INKOLLU,1,0.000353,,Arnada,2,0.000706,,,,,,,,,,826,8,0.002824
,,,,IRALA,27,0.009531,,Aroor,1,0.000353,,,,,,,,,,827,18,0.006354
,,,,JAGGAMPETA,13,0.004589,,Arugorla Khandriga,1,0.000353,,,,,,,,,,828,30,0.01059
,,,,JALADANKI,10,0.00353,,Arur,9,0.003177,,,,,,,,,,829,13,0.004589
,,,,JALUMURU,7,0.002471,,Aruru,5,0.001765,,,,,,,,,,830,37,0.013061
,,,,JAMMALAMADUGU,6,0.002118,,Atchavalle,4,0.001412,,,,,,,,,,831,62,0.021886
,,,,JANAKAVARAMPANGULURU,6,0.002118,,Athiralladinne,2,0.000706,,,,,,,,,,832,26,0.009178
,,,,JANGAREDDIGUDEM,16,0.005648,,Athur,3,0.001059,,,,,,,,,,833,18,0.006354
,,,,JEELUGU MILLI,24,0.008472,,Atlur,1,0.000353,,,,,,,,,,834,61,0.021533
,,,,JIYYAMMAVALASA,3,0.001059,,Atmakur,8,0.002824,,,,,,,,,,835,27,0.009531
,,,,JUPADU BUNGALOW,1,0.000353,,Auranga Bad,1,0.000353,,,,,,,,,,836,157,0.055421
,,,,K.V.B.PURAM,20,0.00706,,Avisanavaripalem,1,0.000353,,,,,,,,,,837,65,0.022945
,,,,KADIRI,23,0.008119,,Avuladatla,1,0.000353,,,,,,,,,,838,5,0.001765
,,,,KALAKADA,50,0.01765,,Avulampalle,2,0.000706,,,,,,,,,,839,88,0.031064
,,,,KALASAPADU,22,0.007766,,Avulapalle,1,0.000353,,,,,,,,,,841,12,0.004236
,,,,KALIGIRI,21,0.007413,,Avulathimmanapalle,1,0.000353,,,,,,,,,,842,9,0.003177
,,,,KALIKIRI,41,0.014473,,Avulenna,3,0.001059,,,,,,,,,,843,30,0.01059
,,,,KALLUR,4,0.001412,,Ayyagari Palle,3,0.001059,,,,,,,,,,844,1,0.000353
,,,,KALUVOYA,9,0.003177,,Ayyagaripalem,1,0.000353,,,,,,,,,,845,18,0.006354
,,,,KALYANDURG,100,0.0353,,Ayyala Krishna Reddipalle,1,0.000353,,,,,,,,,,846,22,0.007766
,,,,KAMALAPURAM,6,0.002118,,Ayyanapalle,1,0.000353,,,,,,,,,,848,3,0.001059
,,,,KAMAVARAPUKOTA,2,0.000706,,Ayyannagaripalle,1,0.000353,,,,,,,,,,849,14,0.004942
,,,,KAMBADUR,61,0.021533,,Ayyannakota,5,0.001765,,,,,,,,,,850,18,0.006354
,,,,KAMBHAMVARIPALLE,45,0.015885,,Ayyaparaju Palem,2,0.000706,,,,,,,,,,851,9,0.003177
,,,,KANAGANAPALLE,61,0.021533,,Ayyavaripalle,12,0.004236,,,,,,,,,,852,7,0.002471
,,,,KANCHIKACHERLA,2,0.000706,,B.Pappuru,2,0.000706,,,,,,,,,,854,28,0.009884
,,,,KANCHILI,3,0.001059,,Bachchupalle,5,0.001765,,,,,,,,,,855,27,0.009531
,,,,KANDUKUR,9,0.003177,,Bachepalle,2,0.000706,,,,,,,,,,856,11,0.003883
,,,,KANEKAL,26,0.009178,,Bada Puram,1,0.000353,,,,,,,,,,857,28,0.009884
,,,,KANIGIRI,49,0.017297,,Baddepudi,3,0.001059,,,,,,,,,,858,1,0.000353
,,,,KARVETINAGAR,75,0.026475,,Baggamdhoravalasa,1,0.000353,,,,,,,,,,859,8,0.002824
,,,,KASIMKOTA,3,0.001059,,Baginayakana Halli,1,0.000353,,,,,,,,,,860,23,0.008119
,,,,KAVALI,5,0.001765,,Baidalapuram,1,0.000353,,,,,,,,,,861,14,0.004942
,,,,KAVITI,7,0.002471,,Baipparedlapalle,2,0.000706,,,,,,,,,,862,72,0.025416
,,,,KHAJIPET,2,0.000706,,Bairaganipalle (Rural),1,0.000353,,,,,,,,,,901,38,0.013414
,,,,KODAVALUR,1,0.000353,,Bairupalle,10,0.00353,,,,,,,,,,902,9,0.003177
,,,,KODUMUR,1,0.000353,,Baitakodiambedu,1,0.000353,,,,,,,,,,903,7,0.002471
,,,,KODUR,7,0.002471,,Baitapalle,1,0.000353,,,,,,,,,,905,18,0.006354
,,,,KOILKUNTLA,9,0.003177,,Bakkupeta,1,0.000353,,,,,,,,,,906,12,0.004236
,,,,KOLIMIGUNDLA,17,0.006001,,Balapanur,3,0.001059,,,,,,,,,,907,8,0.002824
,,,,KOMARADA,3,0.001059,,Balasamudram,2,0.000706,,,,,,,,,,908,7,0.002471
,,,,KOMAROLU,27,0.009531,,Balayapalle,3,0.001059,,,,,,,,,,909,3,0.001059
,,,,KONAKANAMITLA,42,0.014826,,Balijapadu,1,0.000353,,,,,,,,,,910,44,0.015532
,,,,KONDAPI,76,0.026828,,Balijapalem,3,0.001059,,,,,,,,,,911,37,0.013061
,,,,KONDAPURAM,15,0.005295,,Balla,6,0.002118,,,,,,,,,,912,16,0.005648
,,,,KORISAPADU,42,0.014826,,Ballavaram,1,0.000353,,,,,,,,,,913,16,0.005648
,,,,KOSIGI,4,0.001412,,Balli Palle,2,0.000706,,,,,,,,,,914,22,0.007766
,,,,KOTA,10,0.00353,,Balupalle,1,0.000353,,,,,,,,,,916,11,0.003883
,,,,KOTABOMMALI,13,0.004589,,Bandakindapalle,1,0.000353,,,,,,,,,,917,9,0.003177
