District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Subbasin,Count,Capacity,,Microbasin,Count,Capacity
,,,,GANDEPALLE,14,0.004942,,Ankalammagudur,1,0.000353,,,,,,,,,,614,5,0.001765
,,,,GANDLAPENTA,21,0.007413,,Ankampalle,8,0.002824,,,,,,,,,,615,23,0.008119
,,,,GANGADHARANELLORE,64,0.022592,,Ankupalle,1,0.000353,,,,,,,,,,616,10,0.00353
,,,,GANGAVARAM,60,0.02118,,Anna Varam,1,0.000353,,,,,,,,,,617,1,0.000353
,,,,GANGUVARISIGADAM,4,0.001412,,Annada Puram,1,0.000353,,,,,,,,,,618,7,0.002471
,,,,GANNAVARAM,6,0.002118,,Annalur,1,0.000353,,,,,,,,,,619,26,0.009178
,,,,GANTYADA,36,0.012708,,Annasamudram,1,0.000353,,,,,,,,,,620,6,0.002118
,,,,GARA,11,0.003883,,Annavaram,1,0.000353,,,,,,,,,,621,2,0.000706
,,,,GARIVIDI,25,0.008825,,Anneboinapalle,2,0.000706,,,,,,,,,,622,7,0.002471
,,,,GARLADINNE,14,0.004942,,Annupuram,2,0.000706,,,,,,,,,,624,9,0.003177
,,,,GARUGUBILLI,9,0.003177,,Annur,1,0.000353,,,,,,,,,,625,7,0.002471
,,,,GIDDALUR,48,0.016944,,Annurkasabagayat,1,0.000353,,,,,,,,,,626,3,0.001059
,,,,GOLUGONDA,21,0.007413,,Anthakapalli,2,0.000706,,,,,,,,,,627,9,0.003177
,,,,GONEGANDLA,3,0.001059,,Antikonda,3,0.001059,,,,,,,,,,628,2,0.000706
,,,,GOOTY,16,0.005648,,Anumollanka,1,0.000353,,,,,,,,,,629,6,0.002118
,,,,GOPALAPURAM,10,0.00353,,Anumpalle,5,0.001765,,,,,,,,,,717,1,0.000353
,,,,GOPAVARAM,10,0.00353,,Appalammapeta,2,0.000706,,,,,,,,,,721,1,0.000353
,,,,GORANTLA,51,0.018003,,Appalarajupuram,1,0.000353,,,,,,,,,,727,3,0.001059
,,,,GOSPADU,1,0.000353,,Appapuram,4,0.001412,,,,,,,,,,730,3,0.001059
,,,,GUDIBANDA,19,0.006707,,Appecherla,11,0.003883,,,,,,,,,,731,4,0.001412
,,,,GUDIPALA,43,0.015179,,Appilepalle,3,0.001059,,,,,,,,,,732,1,0.000353
,,,,GUDLURU,2,0.000706,,Appinapalle,2,0.000706,,,,,,,,,,734,4,0.001412
,,,,GUDUPALLE,103,0.036359,,Aradigunta,9,0.003177,,,,,,,,,,735,2,0.000706
,,,,GUDUR,5,0.001765,,Aragonda,4,0.001412,,,,,,,,,,738,1,0.000353
,,,,GUMMAGATTA,29,0.010237,,Arasada,2,0.000706,,,,,,,,,,741,1,0.000353
,,,,GUMMALAKSHMIPURAM,5,0.001765,,Aravallipadu,2,0.000706,,,,,,,,,,742,2,0.000706
,,,,GUNTAKAL,51,0.018003,,Aravasariapalle,1,0.000353,,,,,,,,,,744,3,0.001059
,,,,GURLA,69,0.024357,,Araveedu,4,0.001412,,,,,,,,,,747,7,0.002471
,,,,GURRAMKONDA,19,0.006707,,Aravetipalle,1,0.000353,,,,,,,,,,755,1,0.000353
,,,,HALAHARVI,3,0.001059,,Ardhamala,1,0.000353,,,,,,,,,,758,4,0.001412
,,,,HANUMANTHUNIPADU,101,0.035653,,Arikela,7,0.002471,,,,,,,,,,760,5,0.001765
,,,,HINDUPUR,40,0.01412,,Arikera,1,0.000353,,,,,,,,,,763,1,0.000353
,,,,HIRAMANDALAM,24,0.008472,,Arinam Akkivalasa,1,0.000353,,,,,,,,,,802,4,0.001412
,,,,HOLAGUNDA,18,0.006354,,Aripaka,1,0.000353,,,,,,,,,,803,10,0.00353
,,,,IBRAHIMPATNAM,3,0.001059,,Arlapadu,3,0.001059,,,,,,,,,,804,3,0.001059
,,,,ICHCHAPURAM,43,0.015179,,Arnada,2,0.000706,,,,,,,,,,805,35,0.012355
,,,,INKOLLU,1,0.000353,,Arthamuru,1,0.000353,,,,,,,,,,806,21,0.007413
