Tekkali;Tekkali;100327048011300;07.05.2015;28522;5.KL;12;60
Mandasa;Tentaligam;0100233022071400;29.04.2016;83;5;0.5;
Mandasa;Thobagam;100233056021400;29.04.2016;93;5;1;
Seethampeta;Tumbali; 0100713002010100;27.04.16;138;5;2;5
Seethampeta;Tumbaliguda; 0100713002050100;27.04.16;196;5;1;5
Vajrapukotturu;Uddanam meliaputti;0100331047024000;01.05.2016;579;5;0.5;
Santhabommali;Umilada;100429037013300;15.05.2015;1715;5.KL;3;15
Vajrapukotturu;Undrukudiya;100331023021200;20.05.2015;438;5.KL;1;5
Santhabommali;Unkilivanipeta;100429037053300;15.05.2015;266;5.KL;1;5
Kanchili;Upparipeta;100135045022000;24.05.2015;252;5.KL;1;5
Mandasa;Upparipeta (Srirampuram);0100233031031900;05.05.2016;104;5;1;
Seethampeta;Uvvamanuguda; 0100713010020700;25.04.16;265;5;1;5
Seethampeta;Vajjaiguda; 0100713094012200;12.04.16;401;5;2;10
Seethampeta;YEGUVABUDAGARAI; 0100713056031800;28.04.16;96;5;1;5
Sompeta;Yekuvooru;0100234032042100;05.05.2016;1045;5;3;
Kotabommali;Yelamanchili;0100428027012400;13.04.2016;1593;5;3;
Kotabommali;Yelamanchili;100428027012400;26.05.2015;1593;5.KL;6;30
