District,count,,Mandal,Count,,Village,Count,,Basin,Count,,Subbasin,Count,,Microbasin,Count
,,,,,,C.Belagal,266,,,,,,,,,
,,,,,,C.Gopalapuram,27,,,,,,,,,
,,,,,,Chabali,45,,,,,,,,,
,,,,,,Chabolu,60,,,,,,,,,
,,,,,,Chadalawada,17,,,,,,,,,
,,,,,,Chagalamarri,626,,,,,,,,,
,,,,,,Chagaleru,30,,,,,,,,,
,,,,,,Chagallu,1,,,,,,,,,
,,,,,,Chagantipadu,372,,,,,,,,,
,,,,,,Chagi,18,,,,,,,,,
,,,,,,Chakarajuvemula,11,,,,,,,,,
,,,,,,Chakarapalle,3,,,,,,,,,
,,,,,,Chaki Cherla,235,,,,,,,,,
,,,,,,Chakibanda,11,,,,,,,,,
,,,,,,Chakirala,106,,,,,,,,,
,,,,,,Chakkapalle,394,,,,,,,,,
,,,,,,Chakkaralla,73,,,,,,,,,
,,,,,,Chakraya Palem,37,,,,,,,,,
,,,,,,Chakrayapet,124,,,,,,,,,
,,,,,,Chalamcherla,6,,,,,,,,,
,,,,,,Chalamvalasa,3,,,,,,,,,
,,,,,,Chalivendra,31,,,,,,,,,
,,,,,,Chalivendrapalem,67,,,,,,,,,
,,,,,,Challagirigala,97,,,,,,,,,
,,,,,,Challapalle,8,,,,,,,,,
,,,,,,Chamalaguduru,92,,,,,,,,,
,,,,,,Chandalur,72,,,,,,,,,
,,,,,,Chandaluru,307,,,,,,,,,
,,,,,,Chandana,17,,,,,,,,,
,,,,,,Chandapuram,26,,,,,,,,,
,,,,,,Chandarlapadu,53,,,,,,,,,
,,,,,,Chandavaram,212,,,,,,,,,
,,,,,,Chandra Sekhara Puram,172,,,,,,,,,
,,,,,,Chandragudem,327,,,,,,,,,
,,,,,,Chandrala,29,,,,,,,,,
,,,,,,Chandrampeta,4,,,,,,,,,
,,,,,,Chandrapadu,233,,,,,,,,,
