FID,Shape,RWHS_Proposed_FID,FID_1_1,FID_1_1_1,FID_1_1__1,FID_1_1__2,FID_1_1__3,dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
79,Polygon,79,79,79,79,79,79,320,3,20,VISHAKAPATNAM,BUTCHAYYAPETA,Butchayyapeta,515,BUTCHAYYAPETA,57,0.020121,577,0.004039,42,0.014826,5,0.001765,123,0.34017,0,0
80,Polygon,80,80,80,80,80,80,502,5,2,WEST GODAVARI,BUTTAYAGUDEM,Buttayagudem,363,BUTTAYAGUDEM,146,0.051538,62,0.000434,94,0.033182,38,0.013414,75,0.376153,16,0.005648
81,Polygon,81,81,81,81,81,81,1305,13,5,KURNOOL,C.BELAGAL,C.Belagal,657,C BELAGAL,21,0.007413,110,0.00077,199,0.070247,10,0.00353,0,0,4,0.001412
82,Polygon,82,82,82,82,82,82,1339,13,39,KURNOOL,CHAGALAMARRI,Chagalamarri,47,CHAGALAMARRI,37,0.013061,339,0.002373,67,0.023651,3,0.001059,6,0.137644,3,0.001059
83,Polygon,83,83,83,83,83,83,515,5,15,WEST GODAVARI,CHAGALLU,Chagallu,406,CHAGALLU,0,0,0,0,0,0,0,0,0,0,0,0
84,Polygon,84,84,84,84,84,84,1135,11,35,KADAPA,CHAKRAYAPET,Chakrayapet,648,CHAKNAYAPET,4,0.001412,165,0.001155,147,0.051891,65,0.022945,57,0.213132,43,0.015179
85,Polygon,85,85,85,85,85,85,632,6,32,KRISHNA,CHALLAPALLE,Challapalle,671,CHALLAPALLE,0,0,16,0.000112,0,0,0,0,0,0,0,0
86,Polygon,86,86,86,86,86,86,605,6,5,KRISHNA,CHANDARLAPADU,Chandarlapadu,326,CHANDARLAPADU,37,0.013061,185,0.001295,34,0.012002,10,0.00353,6,0.092449,4,0.001412
87,Polygon,87,87,87,87,87,87,1028,10,28,CHITTOOR,CHANDRAGIRI,Chandragiri,172,CHANDRAGIRI,36,0.012708,727,0.005089,43,0.015179,6,0.002118,9,0.028056,20,0.00706
88,Polygon,88,88,88,88,88,88,838,8,38,PRAKASAM,CHANDRASEKHARA PURAM,Chandrasekhara Puram,299,CHADRASEKARAPURAM,53,0.018709,414,0.002898,91,0.032123,102,0.036006,45,0.246228,69,0.024357
89,Polygon,89,89,89,89,89,89,1114,11,14,KADAPA,CHAPAD,Chapad,96,CHAPAD,1,0.000353,206,0.001442,16,0.005648,0,0,0,0,0,0
90,Polygon,90,90,90,90,90,90,624,6,24,KRISHNA,CHATRAI,Chatrai,380,CHATRAI,3,0.001059,320,0.00224,29,0.010237,25,0.008825,110,2.10003,4,0.001412
91,Polygon,91,91,91,91,91,91,734,7,34,GUNTUR,CHEBROLU,Chebrolu,355,CHEBROLE,0,0,398,0.002786,0,0,0,0,0,0,0,0
92,Polygon,92,92,92,92,92,92,308,3,8,VISHAKAPATNAM,CHEEDIKADA,Cheedikada,471,CHEEDIKADA,13,0.004589,250,0.00175,13,0.004589,3,0.001059,180,0.493193,3,0.001059
93,Polygon,93,93,93,93,93,93,223,2,23,VIZIANAGARAM,CHEEPURUPALLE,Cheepurupalle,576,CHEEPURUPALLE,0,0,1451,0.010157,400,0.1412,6,0.002118,136,0.277941,11,0.003883
94,Polygon,94,94,94,94,94,94,920,9,20,NELLORE,CHEJERLA,Chejerla,230,CHEJERLA,0,0,219,0.001533,0,0,1,0.000353,36,0.074254,8,0.002824
95,Polygon,95,95,95,95,95,95,1236,12,36,ANANTAPUR,CHENNEKOTHAPALLE,Chennekothapalle,95,CHENNE KOTHAPALLE,115,0.040595,1208,0.008456,113,0.039889,19,0.006707,50,0.718206,26,0.009178
96,Polygon,96,96,96,96,96,96,1127,11,27,KADAPA,CHENNUR2,Chennur2,120,CHENNUR,2,0.000706,10,0.00007,10,0.00353,2,0.000706,16,0.07847,2,0.000706
97,Polygon,97,97,97,97,97,97,750,7,50,GUNTUR,CHERUKUPALLE,Cherukupalle,395,CHERUKUPALLE,0,0,631,0.004417,0,0,0,0,0,0,0,0
98,Polygon,98,98,98,98,98,98,745,7,45,GUNTUR,CHILAKALURIPET,Chilakaluripet,381,CHILAKALURIPET,0,0,607,0.004249,1,0.000353,2,0.000706,1,0.003309,0,0
99,Polygon,99,99,99,99,99,99,1255,12,55,ANANTAPUR,CHILAMATHUR,Chilamathur,163,CHILAMATHUR,32,0.011296,813,0.005691,157,0.055421,61,0.021533,93,0.906716,138,0.048714
100,Polygon,100,100,100,100,100,100,938,9,38,NELLORE,CHILLAKUR,Chillakur,250,CHILLAKUR,0,0,130,0.00091,5,0.001765,0,0,6,0.009526,3,0.001059
101,Polygon,101,101,101,101,101,101,829,8,29,PRAKASAM,CHIMAKURTHI,Chimakurthi,273,CHIMAKURTHI,0,0,522,0.003654,52,0.018356,3,0.001059,22,0.3063,5,0.001765
102,Polygon,102,102,102,102,102,102,846,8,46,PRAKASAM,CHINAGANJAM,Chinaganjam,325,CHINAGANJAM,0,0,59,0.000413,6,0.002118,1,0.000353,2,0.028366,0,0
103,Polygon,103,103,103,103,103,103,1029,10,29,CHITTOOR,CHINNAGOTTIGALLU,Chinnagottigallu,171,CHINNAGOTTIGALLU,14,0.004942,216,0.001512,59,0.020827,64,0.022592,241,0.198145,40,0.01412
104,Polygon,104,104,104,104,104,104,1148,11,48,KADAPA,CHINNAMANDEM,Chinnamandem,173,CHINNAMANDEM,4,0.001412,238,0.001666,184,0.064952,56,0.019768,164,0.20725,74,0.026122
105,Polygon,105,105,105,105,105,105,509,5,9,WEST GODAVARI,CHINTALAPUDI,Chintalapudi,368,CHINTALAPUDI,81,0.028593,424,0.002968,40,0.01412,5,0.001765,110,0.770226,0,0
106,Polygon,106,106,106,106,106,106,312,3,12,VISHAKAPATNAM,CHINTAPALLE,Chintapalle,482,CHINTAPALLE,97,0.034241,0,0,4,0.001412,0,0,44,0.112475,0,0
107,Polygon,107,107,107,107,107,107,1132,11,32,KADAPA,CHINTHAKOMMADINNE,Chinthakommadinne,108,CHINTHA KOMMADINNE,18,0.006354,284,0.001988,33,0.011649,9,0.003177,27,0.076034,2,0.000706
108,Polygon,108,108,108,108,108,108,463,4,63,EAST GODAVARI,CHINTUR,Chintur,582,CHINTUR,0,0,74,0.000518,0,0,0,0,41,0.04016,1,0.000353
109,Polygon,109,109,109,109,109,109,1353,13,53,KURNOOL,CHIPPAGIRI,Chippagiri,105,CHIPPAGIRI,20,0.00706,148,0.001036,37,0.013061,41,0.014473,1,0.054353,1,0.000353
110,Polygon,110,110,110,110,110,110,823,8,23,PRAKASAM,CHIRALA,Chirala,286,CHIRALA,0,0,17,0.000119,0,0,0,0,1,0.054223,0,0
111,Polygon,111,111,111,111,111,111,941,9,41,NELLORE,CHITTAMUR,Chittamur,267,CHITTAMUR,0,0,26,0.000182,0,0,1,0.000353,5,0.006555,64,0.022592
112,Polygon,112,112,112,112,112,112,1054,10,54,CHITTOOR,CHITTOOR,Chittoor,623,CHITTOOR MANDAL,12,0.004236,586,0.004102,55,0.019415,9,0.003177,94,0.250819,23,0.008119
113,Polygon,113,113,113,113,113,113,1142,11,42,KADAPA,CHITVEL,Chitvel,140,CHITVEL,3,0.001059,329,0.002303,107,0.037771,4,0.001412,38,0.716249,28,0.009884
114,Polygon,114,114,114,114,114,114,321,3,21,VISHAKAPATNAM,CHODAVARAM,Chodavaram,509,CHODAVARAM,21,0.007413,338,0.002366,19,0.006707,2,0.000706,82,0.257314,1,0.000353
115,Polygon,115,115,115,115,115,115,1038,10,38,CHITTOOR,CHOWDEPALLE,Chowdepalle,186,CHOWDEPALLE,5,0.001765,584,0.004088,69,0.024357,78,0.027534,264,0.916593,40,0.01412
116,Polygon,116,116,116,116,116,116,834,8,34,PRAKASAM,CUMBUM,Cumbum,307,CUMBUM,7,0.002471,298,0.002086,47,0.016591,30,0.01059,10,0.08899,11,0.003883
117,Polygon,117,117,117,117,117,117,1201,12,1,ANANTAPUR,D.HIREHAL,D.Hirehal,654,D HIRCHAL,28,0.009884,552,0.003864,176,0.062128,8,0.002824,25,0.232932,11,0.003883
