FID,Shape,RWHS_Proposed_FID,FID_1_1,FID_1_1_1,FID_1_1__1,FID_1_1__2,FID_1_1__3,dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
412,Polygon,412,412,412,412,412,412,639,6,39,KRISHNA,PAMARRU2,Pamarru2,399,PAMARRU,0,0,38,0.000266,0,0,0,0,0,0,0,0
413,Polygon,413,413,413,413,413,413,1212,12,12,ANANTAPUR,PAMIDI,Pamidi,36,PAMIDI,16,0.005648,645,0.004515,115,0.040595,20,0.00706,13,0.262493,13,0.004589
414,Polygon,414,414,414,414,414,414,629,6,29,KRISHNA,PAMIDIMUKKALA,Pamidimukkala,373,PAMIDIMUKKALA,0,0,42,0.000294,0,0,0,0,3,0.0034,0,0
415,Polygon,415,415,415,415,415,415,1314,13,14,KURNOOL,PAMULAPADU,Pamulapadu,567,PAMULAPADU,10,0.00353,167,0.001169,12,0.004236,15,0.005295,0,0,2,0.000706
416,Polygon,416,416,416,416,416,416,852,8,52,PRAKASAM,PAMUR,Pamur,343,PAMUR,85,0.030005,668,0.004676,71,0.025063,63,0.022239,20,0.1801,62,0.021886
417,Polygon,417,417,417,417,417,417,1331,13,31,KURNOOL,PANYAM,Panyam,43,PANYAM,48,0.016944,145,0.001015,78,0.027534,4,0.001412,12,0.527797,4,0.001412
418,Polygon,418,418,418,418,418,418,332,3,32,VISHAKAPATNAM,PARAVADA,Paravada,542,PARAVADA,23,0.008119,50,0.00035,13,0.004589,9,0.003177,85,0.069657,3,0.001059
419,Polygon,419,419,419,419,419,419,821,8,21,PRAKASAM,PARCHUR,Parchur,268,PARCHUR,2,0.000706,266,0.001862,1,0.000353,19,0.006707,3,0.100944,12,0.004236
420,Polygon,420,420,420,420,420,420,1258,12,58,ANANTAPUR,PARIGI,Parigi,155,PARIGI,14,0.004942,798,0.005586,140,0.04942,19,0.006707,17,0.175492,10,0.00353
421,Polygon,421,421,421,421,421,421,206,2,6,VIZIANAGARAM,PARVATHIPURAM,Parvathipuram,518,PARVATHIPURAM,40,0.01412,661,0.004627,122,0.043066,19,0.006707,102,0.310277,1,0.000353
422,Polygon,422,422,422,422,422,422,125,1,25,SRIKAKULAM,PATHAPATNAM,Pathapatnam,27,PATHAPATNAM,6,0.002118,175,0.001225,270,0.09531,28,0.009884,252,0.347673,18,0.006354
423,Polygon,423,423,423,423,423,423,1351,13,51,KURNOOL,PATTIKONDA,Pattikonda,52,PATTIKANDA,62,0.021886,281,0.001967,149,0.052597,22,0.007766,8,0.050115,55,0.019415
424,Polygon,424,424,424,424,424,424,338,3,38,VISHAKAPATNAM,PAYAKARAOPETA,Payakaraopeta,556,PAYAKARAOPETA,6,0.002118,55,0.000385,6,0.002118,3,0.001059,42,0.111878,0,0
425,Polygon,425,425,425,425,425,425,1348,13,48,KURNOOL,PEAPALLY,Peapally,59,PEAPALLY,74,0.026122,15,0.000105,283,0.099899,15,0.005295,32,0.136088,11,0.003883
426,Polygon,426,426,426,426,426,426,806,8,6,PRAKASAM,PEDA  ARAVEEDU,Peda  Araveedu,231,PEDAARAVEEDU,7,0.002471,1014,0.007098,30,0.01059,6,0.002118,36,0.281187,13,0.004589
427,Polygon,427,427,427,427,427,427,302,3,2,VISHAKAPATNAM,PEDABAYALU,Pedabayalu,461,PEDABAYALU,54,0.019062,0,0,14,0.004942,3,0.001059,0,0,1,0.000353
428,Polygon,428,428,428,428,428,428,840,8,40,PRAKASAM,PEDACHERLO PALLE,Pedacherlo Palle,312,PEDACHERLOPALLE,110,0.03883,109,0.000763,94,0.033182,49,0.017297,26,0.123969,109,0.038477
429,Polygon,429,429,429,429,429,429,331,3,31,VISHAKAPATNAM,PEDAGANTYADA,Pedagantyada,550,PEDAGANTYADA,4,0.001412,62,0.000434,0,0,0,0,0,0,0,0
430,Polygon,430,430,430,430,430,430,727,7,27,GUNTUR,PEDAKAKANI,Pedakakani,319,PEDAKAKANI,0,0,126,0.000882,0,0,0,0,4,0.019309,0,0
431,Polygon,431,431,431,431,431,431,714,7,14,GUNTUR,PEDAKURAPADU,Pedakurapadu,300,PEDAKURAPADU,0,0,321,0.002247,4,0.001412,0,0,2,0.014136,0,0
432,Polygon,432,432,432,432,432,432,644,6,44,KRISHNA,PEDANA,Pedana,411,PEDANA,0,0,26,0.000182,0,0,0,0,12,0.06785,0,0
433,Polygon,433,433,433,433,433,433,746,7,46,GUNTUR,PEDANANDIPADU,Pedanandipadu,384,PEDANANDIPADU,0,0,330,0.00231,0,0,0,0,0,0,0,0
434,Polygon,434,434,434,434,434,434,522,5,22,WEST GODAVARI,PEDAPADU,Pedapadu,417,PEDAPADU,0,0,6,0.000042,0,0,0,0,11,0.079546,0,0
435,Polygon,435,435,435,435,435,435,640,6,40,KRISHNA,PEDAPARUPUDI,Pedaparupudi,419,PEDAPARUPUDI,0,0,3,0.000021,0,0,0,0,0,0,0,0
436,Polygon,436,436,436,436,436,436,435,4,35,EAST GODAVARI,PEDAPUDI,Pedapudi,479,PEDAPUDI,0,0,10,0.00007,0,0,0,0,0,0,0,0
437,Polygon,437,437,437,437,437,437,521,5,21,WEST GODAVARI,PEDAVEGI,Pedavegi,667,PADAVEGI,3,0.001059,1387,0.009709,1,0.000353,0,0,83,0.831514,0,0
438,Polygon,438,438,438,438,438,438,1322,13,22,KURNOOL,PEDDA KADUBUR,Pedda Kadubur,659,PEDDA KADUBUR,51,0.018003,25,0.000175,74,0.026122,3,0.001059,7,0.030045,0,0
439,Polygon,439,439,439,439,439,439,1004,10,4,CHITTOOR,PEDDA THIPPASAMUDRAM,Pedda Thippasamudram,680,PEDDATHIPPASAMUDRA,36,0.012708,233,0.001631,35,0.012355,50,0.01765,105,0.498685,43,0.015179
440,Polygon,440,440,440,440,440,440,1001,10,1,CHITTOOR,PEDDAMANDYAM,Peddamandyam,133,PEDDAMANDYAM,51,0.018003,468,0.003276,115,0.040595,80,0.02824,113,0.43587,76,0.026828
441,Polygon,441,441,441,441,441,441,1103,11,3,KADAPA,PEDDAMUDIUM,Peddamudium,68,PEDDAMUDIUM,7,0.002471,59,0.000413,71,0.025063,1,0.000353,5,0.022258,1,0.000353
442,Polygon,442,442,442,442,442,442,1060,10,60,CHITTOOR,PEDDAPANJANI,Peddapanjani,206,PEDDA PANJANI,0,0,583,0.004081,76,0.026828,93,0.032829,178,0.934183,93,0.032829
443,Polygon,443,443,443,443,443,443,1210,12,10,ANANTAPUR,PEDDAPAPPUR,Peddapappur,42,PEDDAPAPPUR,1,0.000353,411,0.002877,155,0.054715,26,0.009178,7,0.022867,24,0.008472
444,Polygon,444,444,444,444,444,444,420,4,20,EAST GODAVARI,PEDDAPURAM,Peddapuram,464,PEDDAPURAM,0,0,310,0.00217,0,0,0,0,76,0.071163,0,0
445,Polygon,445,445,445,445,445,445,1207,12,7,ANANTAPUR,PEDDAVADUGUR,Peddavadugur,619,PEDDAVADUGUR,59,0.020827,900,0.0063,121,0.042713,23,0.008119,11,0.164927,28,0.009884
446,Polygon,446,446,446,446,446,446,943,9,43,NELLORE,PELLAKUR,Pellakur,285,PELLAKUR,0,0,45,0.000315,1,0.000353,1,0.000353,12,0.111891,3,0.001059
447,Polygon,447,447,447,447,447,447,1141,11,41,KADAPA,PENAGALUR,Penagalur,143,PENAGALURU,22,0.007766,278,0.001946,47,0.016591,13,0.004589,25,0.280548,10,0.00353
448,Polygon,448,448,448,448,448,448,618,6,18,KRISHNA,PENAMALURU,Penamaluru,348,PENAMALURU,0,0,38,0.000266,0,0,0,0,5,0.041768,0,0
449,Polygon,449,449,449,449,449,449,1133,11,33,KADAPA,PENDLIMARRI,Pendlimarri,165,PENDLIMARRI,11,0.003883,612,0.004284,122,0.043066,23,0.008119,79,0.176487,19,0.006707
450,Polygon,450,450,450,450,450,450,324,3,24,VISHAKAPATNAM,PENDURTHI,Pendurthi,508,PENDURTHI,14,0.004942,110,0.00077,4,0.001412,0,0,42,0.073836,0,0
451,Polygon,451,451,451,451,451,451,527,5,27,WEST GODAVARI,PENTAPADU,Pentapadu,426,PENTAPADU,0,0,4,0.000028,0,0,0,0,2,0.08824,0,0
452,Polygon,452,452,452,452,452,452,603,6,3,KRISHNA,PENUGANCHIPROLU,Penuganchiprolu,331,PENUGANCHIPROLU,2,0.000706,206,0.001442,16,0.005648,5,0.001765,2,0.008604,0,0
453,Polygon,453,453,453,453,453,453,540,5,40,WEST GODAVARI,PENUGONDA,Penugonda,468,PENUGONDA,0,0,0,0,0,0,0,0,0,0,0,0
454,Polygon,454,454,454,454,454,454,1252,12,52,ANANTAPUR,PENUKONDA,Penukonda,110,PENU KONDA,45,0.015885,1533,0.010731,233,0.082249,56,0.019768,68,0.662554,19,0.006707
455,Polygon,455,455,455,455,455,455,539,5,39,WEST GODAVARI,PENUMANTRA,Penumantra,450,PENUMANTRA,0,0,0,0,0,0,0,0,3,0.002318,0,0
456,Polygon,456,456,456,456,456,456,1050,10,50,CHITTOOR,PENUMURU,Penumuru,194,PENUMURU,3,0.001059,127,0.000889,38,0.013414,52,0.018356,50,0.134407,42,0.014826
457,Polygon,457,457,457,457,457,457,530,5,30,WEST GODAVARI,PERAVALI,Peravali,443,PERAVALI,0,0,0,0,0,0,0,0,0,0,0,0
458,Polygon,458,458,458,458,458,458,724,7,24,GUNTUR,PHIRANGIPURAM,Phirangipuram,332,PHIRANGIPURAM,0,0,286,0.002002,0,0,0,0,5,0.025094,0,0
459,Polygon,459,459,459,459,459,459,1020,10,20,CHITTOOR,PICHATUR,Pichatur,142,PICHATUR,3,0.001059,594,0.004158,39,0.013767,13,0.004589,20,0.131565,28,0.009884
460,Polygon,460,460,460,460,460,460,717,7,17,GUNTUR,PIDUGURALLA,Piduguralla,298,PIDUGURALLA,4,0.001412,396,0.002772,2,0.000706,1,0.000353,28,0.205945,0,0
461,Polygon,461,461,461,461,461,461,1031,10,31,CHITTOOR,PILERU,Pileru,168,PILERU,5,0.001765,116,0.000812,205,0.072365,73,0.025769,157,0.186885,86,0.030358
462,Polygon,462,462,462,462,462,462,421,4,21,EAST GODAVARI,PITHAPURAM,Pithapuram,466,PITHAPURAM,0,0,73,0.000511,1,0.000353,0,0,74,0.261852,0,0
463,Polygon,463,463,463,463,463,463,755,7,55,GUNTUR,PITTALAVANIPALEM,Pittalavanipalem,389,PITTALAVANIPALEM,0,0,268,0.001876,0,0,0,0,1,0.02987,0,0
464,Polygon,464,464,464,464,464,464,924,9,24,NELLORE,PODALAKUR,Podalakur,241,PODLAKUR,0,0,501,0.003507,16,0.005648,4,0.001412,69,0.179743,22,0.007766
465,Polygon,465,465,465,465,465,465,812,8,12,PRAKASAM,PODILI,Podili,263,PODILI,26,0.009178,598,0.004186,134,0.047302,21,0.007413,32,0.49194,33,0.011649
466,Polygon,466,466,466,466,466,466,542,5,42,WEST GODAVARI,PODURU,Poduru,467,PODURU,0,0,0,0,0,0,0,0,0,0,0,0
467,Polygon,467,467,467,467,467,467,121,1,21,SRIKAKULAM,POLAKI,Polaki,38,POLAKI,0,0,97,0.000679,8,0.002824,8,0.002824,76,0.155237,0,0
468,Polygon,468,468,468,468,468,468,503,5,3,WEST GODAVARI,POLAVARAM,Polavaram,379,POLAVARAM,24,0.008472,96,0.000672,45,0.015885,0,0,28,0.167522,11,0.003883
469,Polygon,469,469,469,469,469,469,109,1,9,SRIKAKULAM,PONDURU,Ponduru,583,PONDURU,5,0.001765,54,0.000378,104,0.036712,6,0.002118,166,0.244119,16,0.005648
470,Polygon,470,470,470,470,470,470,841,8,41,PRAKASAM,PONNALURU,Ponnaluru,314,PONNALURU,44,0.015532,500,0.0035,50,0.01765,81,0.028593,16,0.269022,46,0.016238
471,Polygon,471,471,471,471,471,471,748,7,48,GUNTUR,PONNUR,Ponnur,378,PONNUR,0,0,106,0.000742,0,0,0,0,0,0,0,0
472,Polygon,472,472,472,472,472,472,1110,11,10,KADAPA,PORUMAMILLA,Porumamilla,48,PORUMAMILLA,23,0.008119,278,0.001946,67,0.023651,21,0.007413,72,0.504717,22,0.007766
473,Polygon,473,473,473,473,473,473,410,4,10,EAST GODAVARI,PRATHIPADU1,Prathipadu1,632,PRATHIPADU (EAST GODAVARI),18,0.006354,548,0.003836,96,0.033888,13,0.004589,96,0.633418,2,0.000706
474,Polygon,474,474,474,474,474,474,736,7,36,GUNTUR,PRATHIPADU2,Prathipadu2,351,PRATHIPADU,0,0,175,0.001225,0,0,0,0,14,0.089586,0,0
475,Polygon,475,475,475,475,475,475,1115,11,15,KADAPA,PRODDATUR,Proddatur,94,PRODDUTUR,4,0.001412,274,0.001918,20,0.00706,0,0,1,0.001755,1,0.000353
476,Polygon,476,476,476,476,476,476,1041,10,41,CHITTOOR,PULICHERLA,Pulicherla,183,PULICHERLA,0,0,760,0.00532,34,0.012002,19,0.006707,81,0.112595,9,0.003177
477,Polygon,477,477,477,477,477,477,1120,11,20,KADAPA,PULIVENDLA,Pulivendla,85,PULIVENDLA,7,0.002471,31,0.000217,41,0.014473,9,0.003177,52,0.155279,8,0.002824
478,Polygon,478,478,478,478,478,478,802,8,2,PRAKASAM,PULLALACHERUVU,Pullalacheruvu,238,PULLALACHERUVU,10,0.00353,456,0.003192,86,0.030358,46,0.016238,9,0.181012,36,0.012708
479,Polygon,479,479,479,479,479,479,1145,11,45,KADAPA,PULLAMPETA,Pullampeta,178,PULLAMPETA,5,0.001765,197,0.001379,106,0.037418,6,0.002118,47,0.310997,8,0.002824
480,Polygon,480,480,480,480,480,480,1037,10,37,CHITTOOR,PUNGANUR,Punganur,187,PUNGANUR,0,0,494,0.003458,37,0.013061,59,0.020827,128,0.458232,36,0.012708
481,Polygon,481,481,481,481,481,481,225,2,25,VIZIANAGARAM,PUSAPATIREGA,Pusapatirega,569,PUSAPATIREGA,6,0.002118,1053,0.007371,34,0.012002,4,0.001412,201,0.882314,1,0.000353
482,Polygon,482,482,482,482,482,482,1051,10,51,CHITTOOR,PUTHALAPATTU,Puthalapattu,193,PUTHALAPATTU,12,0.004236,506,0.003542,27,0.009531,81,0.028593,140,0.766311,74,0.026122
483,Polygon,483,483,483,483,483,483,1228,12,28,ANANTAPUR,PUTLUR,Putlur,55,PUTLUR,0,0,1018,0.007126,184,0.064952,26,0.009178,7,0.046957,44,0.015532
484,Polygon,484,484,484,484,484,484,1249,12,49,ANANTAPUR,PUTTAPARTHI,Puttaparthi,118,PUTTAPARTHI,7,0.002471,1087,0.007609,123,0.043419,37,0.013061,51,0.333153,30,0.01059
485,Polygon,485,485,485,485,485,485,1044,10,44,CHITTOOR,PUTTUR,Puttur,180,PUTTUR,11,0.003883,305,0.002135,31,0.010943,15,0.005295,26,0.255126,14,0.004942
486,Polygon,486,486,486,486,486,486,835,8,35,PRAKASAM,RACHERLA,Racherla,301,RACHERLA,22,0.007766,337,0.002359,56,0.019768,57,0.020121,29,0.166552,21,0.007413
487,Polygon,487,487,487,487,487,487,429,4,29,EAST GODAVARI,RAJAHMUNDRY (FULLY URBAN),Rajahmundry (Fully Urban),665,RAJAHMUNDRY RURAL,0,0,4,0.000028,0,0,0,0,0,0,0,0
488,Polygon,488,488,488,488,488,488,430,4,30,EAST GODAVARI,RAJAHMUNDRY (RURAL),Rajahmundry (Rural),666,RAJAHMUNDRY (URBAN),0,0,64,0.000448,0,0,0,0,32,0.002464,0,0
489,Polygon,489,489,489,489,489,489,104,1,4,SRIKAKULAM,RAJAM,Rajam,568,RAJAM,2,0.000706,138,0.000966,44,0.015532,15,0.005295,318,0.516545,0,0
490,Polygon,490,490,490,490,490,490,1139,11,39,KADAPA,RAJAMPET,Rajampet,150,RAJAMPET,7,0.002471,330,0.00231,91,0.032123,39,0.013767,52,0.588351,26,0.009178
491,Polygon,491,491,491,491,491,491,428,4,28,EAST GODAVARI,RAJANAGARAM,Rajanagaram,470,RAJANAGARAM,0,0,260,0.00182,0,0,0,0,185,1.347675,0,0
492,Polygon,492,492,492,492,492,492,404,4,4,EAST GODAVARI,RAJAVOMMANGI,Rajavommangi,431,RAJAVOMMANGI,222,0.078366,0,0,30,0.01059,4,0.001412,87,0.186165,3,0.001059
493,Polygon,493,493,493,493,493,493,213,2,13,VIZIANAGARAM,RAMABHADRAPURAM,Ramabhadrapuram,533,RAMABHADRAPURAM,10,0.00353,1698,0.011886,129,0.045537,19,0.006707,5,0.038324,0,0
494,Polygon,494,494,494,494,494,494,1027,10,27,CHITTOOR,RAMACHANDRAPURAM1,Ramachandrapuram1,644,KAMMAPALLE,7,0.002471,150,0.00105,83,0.029299,7,0.002471,22,0.358192,149,0.052597
495,Polygon,495,495,495,495,495,495,439,4,39,EAST GODAVARI,RAMACHANDRAPURAM2,Ramachandrapuram2,491,RAMACHANDRAPURAM,0,0,11,0.000077,0,0,0,0,0,0,0,0
496,Polygon,496,496,496,496,496,496,1235,12,35,ANANTAPUR,RAMAGIRI,Ramagiri,97,RAMAGIRI,53,0.018709,732,0.005124,163,0.057539,25,0.008825,55,0.526052,69,0.024357
497,Polygon,497,497,497,497,497,497,1063,10,63,CHITTOOR,RAMAKUPPAM,Ramakuppam,203,RAMA KUPPAM,37,0.013061,1047,0.007329,48,0.016944,87,0.030711,115,0.236171,73,0.025769
498,Polygon,498,498,498,498,498,498,1137,11,37,KADAPA,RAMAPURAM,Ramapuram,154,RAMAPURAM,0,0,393,0.002751,162,0.057186,29,0.010237,125,0.256186,66,0.023298
499,Polygon,499,499,499,499,499,499,1036,10,36,CHITTOOR,RAMASAMUDRAM,Ramasamudram,188,RAMASAMUDRAM,0,0,290,0.00203,33,0.011649,38,0.013414,105,0.41111,51,0.018003
500,Polygon,500,500,500,500,500,500,342,3,42,VISHAKAPATNAM,RAMBILLI,Rambilli,581,RAMBILLI,8,0.002824,199,0.001393,19,0.006707,1,0.000353,109,0.074512,2,0.000706
501,Polygon,501,501,501,501,501,501,413,4,13,EAST GODAVARI,RAMPACHODAVARAM,Rampachodavaram,436,RAMPACHODAVARAM,242,0.085426,0,0,44,0.015532,4,0.001412,74,0.144761,6,0.002118
502,Polygon,502,502,502,502,502,502,107,1,7,SRIKAKULAM,RANASTALAM,Ranastalam,585,RANASTALAM,7,0.002471,62,0.000434,240,0.08472,24,0.008472,539,0.63434,32,0.011296
503,Polygon,503,503,503,503,503,503,426,4,26,EAST GODAVARI,RANGAMPETA,Rangampeta,473,RANGAMPETA,0,0,609,0.004263,0,0,0,0,118,0.21408,0,0
504,Polygon,504,504,504,504,504,504,1232,12,32,ANANTAPUR,RAPTADU,Raptadu,104,RAPTADU,66,0.023298,776,0.005432,109,0.038477,9,0.003177,28,0.537899,2,0.000706
505,Polygon,505,505,505,505,505,505,923,9,23,NELLORE,RAPUR,Rapur,239,RAPUR,164,0.057892,551,0.003857,40,0.01412,1,0.000353,80,0.22099,9,0.003177
506,Polygon,506,506,506,506,506,506,319,3,19,VISHAKAPATNAM,RAVIKAMATAM,Ravikamatam,492,RAVIKAMATHAM,28,0.009884,627,0.004389,75,0.026475,7,0.002471,169,0.524872,3,0.001059
507,Polygon,507,507,507,507,507,507,444,4,44,EAST GODAVARI,RAVULAPALEM,Ravulapalem,506,RAVULAPALEM,0,0,2,0.000014,0,0,0,0,0,0,0,0
508,Polygon,508,508,508,508,508,508,1149,11,49,KADAPA,RAYACHOTI,Rayachoti,649,ROYACHOTI,0,0,299,0.002093,173,0.061069,26,0.009178,39,0.238627,41,0.014473
509,Polygon,509,509,509,509,509,509,1218,12,18,ANANTAPUR,RAYADURG,Rayadurg,46,RAYADURG,8,0.002824,931,0.006517,156,0.055068,18,0.006354,38,0.445297,26,0.009178
510,Polygon,510,510,510,510,510,510,440,4,40,EAST GODAVARI,RAYAVARAM,Rayavaram,514,RAYAVARAM,0,0,4,0.000028,0,0,0,0,0,0,0,0
511,Polygon,511,511,511,511,511,511,457,4,57,EAST GODAVARI,RAZOLE,Razole,528,RAZOLE,0,0,108,0.000756,0,0,0,0,0,0,0,0
512,Polygon,512,512,512,512,512,512,615,6,15,KRISHNA,REDDIGUDEM,Reddigudem,350,REDDIGUDEM,26,0.009178,451,0.003157,36,0.012708,2,0.000706,79,4.238146,3,0.001059
513,Polygon,513,513,513,513,513,513,103,1,3,SRIKAKULAM,REGIDIAMADALAVALASA,Regidiamadalavalasa,647,REGIDIAMADALAVALASA,0,0,90,0.00063,31,0.010943,32,0.011296,785,0.87761,34,0.012002
514,Polygon,514,514,514,514,514,514,1012,10,12,CHITTOOR,RENIGUNTA,Renigunta,164,RENIGUNTA,17,0.006001,59,0.000413,11,0.003883,38,0.013414,27,0.192763,20,0.00706
515,Polygon,515,515,515,515,515,515,702,7,2,GUNTUR,RENTACHINTALA,Rentachintala,674,RENTACHINTALA,0,0,330,0.00231,0,0,0,0,6,0.002837,0,0
516,Polygon,516,516,516,516,516,516,752,7,52,GUNTUR,REPALLE,Repalle,392,REPALLE,0,0,302,0.002114,0,0,0,0,0,0,0,0
517,Polygon,517,517,517,517,517,517,1253,12,53,ANANTAPUR,RODDAM,Roddam,109,RODDAM,43,0.015179,1080,0.00756,122,0.043066,34,0.012002,61,1.892237,13,0.004589
518,Polygon,518,518,518,518,518,518,1263,12,63,ANANTAPUR,ROLLA,Rolla,141,ROLLA,22,0.007766,489,0.003423,194,0.068482,13,0.004589,49,0.459762,14,0.004942
519,Polygon,519,519,519,519,519,519,318,3,18,VISHAKAPATNAM,ROLUGUNTA,Rolugunta,490,ROLUGUNTA,20,0.00706,210,0.00147,44,0.015532,8,0.002824,121,0.488201,0,0
520,Polygon,520,520,520,520,520,520,1030,10,30,CHITTOOR,ROMPICHERLA1,Rompicherla1,169,ROMPICHERLA,17,0.006001,436,0.003052,84,0.029652,47,0.016591,126,0.28131,47,0.016591
521,Polygon,521,521,521,521,521,521,740,7,40,GUNTUR,ROMPICHERLA2,Rompicherla2,628,ROMPICHERLA (GUNTUR),0,0,302,0.002114,1,0.000353,1,0.000353,7,0.069132,0,0
522,Polygon,522,522,522,522,522,522,460,4,60,EAST GODAVARI,ROWTHULAPUDI,Rowthulapudi,523,ROUTHULAPUDI,49,0.017297,540,0.00378,96,0.033888,7,0.002471,113,0.278666,2,0.000706
523,Polygon,523,523,523,523,523,523,1337,13,37,KURNOOL,RUDRAVARAM,Rudravaram,26,RUDRAVARAM,12,0.004236,265,0.001855,117,0.041301,3,0.001059,63,0.859527,2,0.000706
524,Polygon,524,524,524,524,524,524,340,3,40,VISHAKAPATNAM,S RAYAVARAM,S Rayavaram,524,S RAYAVARAM,9,0.003177,127,0.000889,3,0.001059,7,0.002471,33,0.786022,0,0
525,Polygon,525,525,525,525,525,525,1106,11,6,KADAPA,S.MYDUKUR,S.Mydukur,57,S MYDUKUR,17,0.006001,751,0.005257,84,0.029652,2,0.000706,9,0.033127,4,0.001412
526,Polygon,526,526,526,526,526,526,323,3,23,VISHAKAPATNAM,SABBAVARAM,Sabbavaram,505,SABBAVARAM,29,0.010237,499,0.003493,40,0.01412,20,0.00706,167,0.271909,0,0
527,Polygon,527,527,527,527,527,527,459,4,59,EAST GODAVARI,SAKHINETIPALLE,Sakhinetipalle,557,SAKHINETIPALLE,0,0,174,0.001218,0,0,0,0,0,0,0,0
528,Polygon,528,528,528,528,528,528,211,2,11,VIZIANAGARAM,SALUR,Salur,541,SALUR,42,0.014826,77,0.000539,83,0.029299,21,0.007413,0,0,37,0.013061
529,Polygon,529,529,529,529,529,529,425,4,25,EAST GODAVARI,SAMALKOTA,Samalkota,457,SAMALKOTA,0,0,11,0.000077,0,0,0,0,16,0.006614,0,0
530,Polygon,530,530,530,530,530,530,1147,11,47,KADAPA,SAMBEPALLE,Sambepalle,174,SAMBEPALLE,10,0.00353,431,0.003017,248,0.087544,42,0.014826,22,0.033656,45,0.015885
531,Polygon,531,531,531,531,531,531,919,9,19,NELLORE,SANGAM1,Sangam1,219,SANGAM,0,0,29,0.000203,0,0,0,0,5,0.043866,2,0.000706
532,Polygon,532,532,532,532,532,532,1345,13,45,KURNOOL,SANJAMALA,Sanjamala,70,SANJAMALA,96,0.033888,159,0.001113,81,0.028593,2,0.000706,14,0.460947,5,0.001765
533,Polygon,533,533,533,533,533,533,409,4,9,EAST GODAVARI,SANKHAVARAM,Sankhavaram,424,SANKHAVARAM,21,0.007413,269,0.001883,40,0.01412,1,0.000353,29,0.230623,1,0.000353
534,Polygon,534,534,534,534,534,534,129,1,29,SRIKAKULAM,SANTHABOMMALI,Santhabommali,44,SANTHABOMMALI,0,0,53,0.000371,41,0.014473,37,0.013061,283,0.322087,1,0.000353
535,Polygon,535,535,535,535,535,535,110,1,10,SRIKAKULAM,SANTHAKAVITI,Santhakaviti,610,SANTHAKAVITI,0,0,13,0.000091,43,0.015179,5,0.001765,269,0.625775,19,0.006707
536,Polygon,536,536,536,536,536,536,818,8,18,PRAKASAM,SANTHAMAGULURU,Santhamaguluru,251,SANTHAMAGULURU,1,0.000353,578,0.004046,1,0.000353,22,0.007766,17,0.31053,11,0.003883
537,Polygon,537,537,537,537,537,537,843,8,43,PRAKASAM,SANTHANUTHALA PADU,Santhanuthala Padu,311,SANTHANUTHLAPADU,0,0,295,0.002065,18,0.006354,5,0.001765,14,0.183887,29,0.010237
538,Polygon,538,538,538,538,538,538,1064,10,64,CHITTOOR,SANTHIPURAM,Santhipuram,202,SANTHI PURAM,37,0.013061,1180,0.00826,65,0.022945,182,0.064246,119,0.359578,128,0.045184
539,Polygon,539,539,539,539,539,539,124,1,24,SRIKAKULAM,SARAVAKOTA,Saravakota,35,SARAVAKOTA,7,0.002471,400,0.0028,224,0.079072,89,0.031417,268,0.528306,12,0.004236
540,Polygon,540,540,540,540,540,540,117,1,17,SRIKAKULAM,SARUBUJJILI,Sarubujjili,595,SARUBUJJILI,1,0.000353,21,0.000147,85,0.030005,19,0.006707,119,0.184625,27,0.009531
541,Polygon,541,541,541,541,541,541,715,7,15,GUNTUR,SATTENAPALLE,Sattenapalle,302,SATTENAPALLE,0,0,215,0.001505,0,0,0,0,3,0.061211,0,0
542,Polygon,542,542,542,542,542,542,1018,10,18,CHITTOOR,SATYAVEDU,Satyavedu,149,SATYAVEDU,7,0.002471,358,0.002506,23,0.008119,4,0.001412,125,0.601405,24,0.008472
543,Polygon,543,543,543,543,543,543,742,7,42,GUNTUR,SAVALYAPURAM,Savalyapuram,367,SAVALYAPURAM,0,0,172,0.001204,10,0.00353,4,0.001412,13,0.035399,0,0
544,Polygon,544,544,544,544,544,544,113,1,13,SRIKAKULAM,SEETHAMPETA,Seethampeta,608,SEETHAMPETA,70,0.02471,34,0.000238,330,0.11649,114,0.040242,184,0.270625,95,0.033535
545,Polygon,545,545,545,545,545,545,415,4,15,EAST GODAVARI,SEETHANAGARAM1,Seethanagaram1,451,SEETHANAGARAM,2,0.000706,148,0.001036,0,0,0,0,0,0,0,0
546,Polygon,546,546,546,546,546,546,208,2,8,VIZIANAGARAM,SEETHANAGARAM2,Seethanagaram2,635,SEETHANAGARAM (VIZIANAGARAM),1,0.000353,1220,0.00854,34,0.012002,10,0.00353,57,0.110352,4,0.001412
547,Polygon,547,547,547,547,547,547,901,9,1,NELLORE,SEETHARAMAPURAM,Seetharamapuram,217,SEETHARAMAPURAM,39,0.013767,548,0.003836,15,0.005295,3,0.001059,18,0.059276,3,0.001059
548,Polygon,548,548,548,548,548,548,1221,12,21,ANANTAPUR,SETTUR,Settur,78,SETTUR,106,0.037418,673,0.004711,138,0.048714,25,0.008825,6,0.280698,55,0.019415
549,Polygon,549,549,549,549,549,549,1130,11,30,KADAPA,SIDHOUT,Sidhout,111,SIDHOUT,2,0.000706,463,0.003241,60,0.02118,43,0.015179,8,0.011434,2,0.000706
