West Godavari,GOPALAPURAM,22,0.007766,664,0.004648,1,0.000353,10,0.00353,83,0.481867,0,0
Kadapa,GOPAVARAM,18,0.006354,473,0.003311,76,0.026828,10,0.00353,16,0.231414,5,0.001765
Anantapur,GORANTLA,26,0.009178,978,0.006846,182,0.064246,51,0.018003,202,1.637136,80,0.02824
Kurnool,GOSPADU,2,0.000706,228,0.001596,2,0.000706,1,0.000353,3,0.052818,0,0
Anantapur,GUDIBANDA,18,0.006354,806,0.005642,223,0.078719,19,0.006707,74,0.896018,34,0.012002
Chittoor,GUDIPALA,15,0.005295,567,0.003969,38,0.013414,42,0.014826,101,0.284778,12,0.004236
Krishna,GUDIVADA,0,0,1,0.000007,0,0,0,0,0,0,0,0
Krishna,GUDLAVALLERU,0,0,28,0.000196,0,0,0,0,0,0,0,0
Prakasam,GUDLURU,10,0.00353,636,0.004452,47,0.016591,2,0.000706,46,0.539243,36,0.012708
Chittoor,GUDI PALLE,15,0.005295,898,0.006286,104,0.036712,103,0.036359,124,0.137838,41,0.014473
Kurnool,GUDUR (KURNOOL),29,0.010237,117,0.000819,50,0.01765,1,0.000353,1,0.02177,2,0.000706
Nellore,GUDUR,0,0,306,0.002142,20,0.00706,4,0.001412,17,0.102026,33,0.011649
Krishna,GUDUR (KRISHNA),0,0,18,0.000126,0,0,0,0,0,0,0,0
Anantapur,GUMMAGATTA,5,0.001765,683,0.004781,104,0.036712,29,0.010237,24,0.272146,13,0.004589
Vizianagaram,GUMMALAKSHMIPURAM,111,0.039183,0,0,122,0.043066,5,0.001765,38,0.409441,9,0.003177
Anantapur,GUNTAKAL,31,0.010943,738,0.005166,140,0.04942,51,0.018003,26,0.767379,16,0.005648
Guntur,GUNTUR MANDAL,3,0.001059,74,0.000518,0,0,0,0,9,0.108554,0,0
Guntur,GURAZALA,2,0.000706,388,0.002716,2,0.000706,0,0,20,0.110777,0,0
Vizianagaram,GURLA,24,0.008472,1313,0.009191,197,0.069541,69,0.024357,149,0.43439,0,0
Chittoor,GURRAMKONDA,45,0.015885,167,0.001169,85,0.030005,19,0.006707,128,1.129737,32,0.011296
Kurnool,HALAHARVI,22,0.007766,219,0.001533,20,0.00706,3,0.001059,3,0.042637,7,0.002471
Prakasam,HANUMANTHUNIPADU,43,0.015179,294,0.002058,69,0.024357,101,0.035653,13,0.082983,50,0.01765
