dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
1201,12,1,Anantapur,D.HIREHAL,D.Hirehal,654,D HIRCHAL,28,0.009884,552,0.003864,176,0.062128,8,0.002824,25,0.232932,11,0.003883
704,7,4,Guntur,DACHEPALLE,Dachepalle,280,DACHEPALLE,0,0,221,0.001547,0,0,0,0,4,0.017604,0,0
914,9,14,Nellore,DAGADARTHI,Dagadarthi,222,DAGADARTHI,0,0,121,0.000847,12,0.004236,3,0.001059,45,0.099914,11,0.003883
934,9,34,Nellore,DAKKILI,Dakkili,258,DAKKILI,31,0.010943,316,0.002212,16,0.005648,0,0,1,0.001446,17,0.006001
813,8,13,Prakasam,DARSI,Darsi,257,DARSI,45,0.015885,248,0.001736,102,0.036006,44,0.015532,72,0.217041,16,0.005648
217,2,17,Vizianagaram,DATTIRAJERU,Dattirajeru,555,DATTIRAJERU,15,0.005295,2063,0.014441,175,0.061775,13,0.004589,339,0.845618,7,0.002471
524,5,24,West Godavari,DENDULURU,Denduluru,413,DENDULURU,0,0,280,0.00196,0,0,0,0,58,0.773528,0,0
227,2,27,Vizianagaram,DENKADA,Denkada,564,DENKADA,0,0,573,0.004011,190,0.06707,41,0.014473,146,0.616506,8,0.002824
1327,13,27,Kurnool,DEVANAKONDA,Devanakonda,594,DEVANAKONDA,62,0.021886,48,0.000336,403,0.142259,94,0.033182,23,0.225075,44,0.015532
307,3,7,Visakhapatnam,DEVARAPALLE1,Devarapalle1,633,DEVARAPALLE (VISAKHAPATNAM),21,0.007413,170,0.00119,1,0.000353,8,0.002824,90,0.264006,6,0.002118
514,5,14,West Godavari,DEVARAPALLE2,Devarapalle2,403,DEVARAPALLE,5,0.001765,268,0.001876,4,0.001412,0,0,29,0.38688,0,0
414,4,14,East Godavari,DEVIPATNAM,Devipatnam,438,DEVIPATNAM,39,0.013767,3,0.000021,44,0.015532,8,0.002824,100,0.09809,0,0
1237,12,37,Anantapur,DHARMAVARAM,Dharmavaram,93,DHARMAVARAM,58,0.020474,1072,0.007504,163,0.057539,18,0.006354,88,0.844087,41,0.014473
1349,13,49,Kurnool,DHONE,Dhone,56,DHONE,61,0.021533,589,0.004123,211,0.074483,25,0.008825,16,0.190676,13,0.004589
805,8,5,Prakasam,DONAKONDA,Donakonda,236,DONAKONDA,32,0.011296,431,0.003017,81,0.028593,48,0.016944,44,0.269162,20,0.00706
944,9,44,Nellore,DORAVARISATRAM,Doravarisatram,287,DORAVARISATRAM,0,0,137,0.000959,0,0,6,0.002118,2,0.022356,21,0.007413
807,8,7,Prakasam,DORNALA,Dornala,233,DORNALA,170,0.06001,584,0.004088,82,0.028946,24,0.008472,35,0.812732,12,0.004236
1341,13,41,Kurnool,DORNIPADU,Dornipadu,19,DORNIPADU,15,0.005295,30,0.00021,0,0,10,0.00353,0,0,1,0.000353
728,7,28,Guntur,DUGGIRALA,Duggirala,321,DUGGIRALA,0,0,89,0.000623,0,0,0,0,1,0.083833,0,0
304,3,4,Visakhapatnam,DUMBRIGUDA,Dumbriguda,456,DUMBRIGUDA,81,0.028593,0,0,0,0,0,0,2,0.007095,0,0
719,7,19,Guntur,DURGI,Durgi,295,DURGI,195,0.068835,311,0.002177,11,0.003883,9,0.003177,11,0.651044,0,0
909,9,9,Nellore,DUTTALUR,Duttalur,211,DUTTALUR,56,0.019768,305,0.002135,48,0.016944,0,0,42,0.213984,9,0.003177
1105,11,5,Kadapa,DUVVUR,Duvvur,61,DUVVUR,3,0.001059,271,0.001897,50,0.01765,2,0.000706,7,0.008331,0,0
512,5,12,West Godavari,DWARAKA TIRUMALA,Dwaraka Tirumala,385,DWARAKA TIRUMALA,13,0.004589,1451,0.010157,4,0.001412,5,0.001765,103,0.455721,3,0.001059
737,7,37,Guntur,EDLAPADU,Edlapadu,353,EDLAPADU,0,0,269,0.001883,0,0,0,0,7,0.009926,0,0
523,5,23,West Godavari,ELURU,Eluru,410,ELURU,0,0,53,0.000371,1,0.000353,0,0,10,0.038528,0,0
108,1,8,Srikakulam,ETCHERLA,Etcherla,587,ETCHERLA,4,0.001412,207,0.001449,85,0.030005,38,0.013414,209,0.145909,32,0.011296
313,3,13,Visakhapatnam,G K VEEDHI,G K Veedhi,484,GUDEM KOTHAVEEDHI,90,0.03177,0,0,1,0.000353,0,0,0,0,0,0
311,3,11,Visakhapatnam,G MADUGULA,G Madugula,488,GANGARAJU MADUGULA,45,0.015885,0,0,0,0,0,0,100,0.109938,0,0
609,6,9,Krishna,G.KONDURU,G.Konduru,317,G KONDURU,98,0.034594,436,0.003052,16,0.005648,6,0.002118,44,0.642664,10,0.00353
1332,13,32,Kurnool,GADIVEMULA,Gadivemula,40,GADIVEMULA,31,0.010943,47,0.000329,19,0.006707,0,0,3,0.174264,1,0.000353
219,2,19,Vizianagaram,GAJAPATHINAGARAM,Gajapathinagaram,552,GAJAPATHINAGARAM,9,0.003177,1892,0.013244,181,0.063893,23,0.008119,154,0.267997,9,0.003177
330,3,30,Visakhapatnam,GAJUWAKA,Gajuwaka,547,GAJUWAKA,9,0.003177,8,0.000056,0,0,0,0,5,0.004825,0,0
1150,11,50,Kadapa,GALIVEEDU,Galiveedu,170,GALIVEEDU,8,0.002824,584,0.004088,108,0.038124,87,0.030711,330,0.946753,39,0.013767
612,6,12,Krishna,GAMPALAGUDEM,Gampalagudem,337,GAMPALAGUDEM,11,0.003883,572,0.004004,42,0.014826,15,0.005295,11,0.059818,5,0.001765
526,5,26,West Godavari,GANAPAVARAM,Ganapavaram,434,GANAPAVARAM,0,0,0,0,0,0,0,0,0,0,0,0
427,4,27,East Godavari,GANDEPALLE,Gandepalle,476,GANDEPALLE,19,0.006707,524,0.003668,14,0.004942,14,0.004942,101,0.213099,0,0
1243,12,43,Anantapur,GANDLAPENTA,Gandlapenta,135,GANDLAPENTA,40,0.01412,722,0.005054,95,0.033535,21,0.007413,101,0.153443,60,0.02118
1049,10,49,Chittoor,GANGADHARANELLORE,Gangadharanellore,195,GANGADHARA NELLORE,6,0.002118,702,0.004914,64,0.022592,63,0.022239,136,0.399947,19,0.006707
1059,10,59,Chittoor,GANGAVARAM1,Gangavaram1,207,GANGAVARAM,3,0.001059,467,0.003269,32,0.011296,58,0.020474,171,0.544345,23,0.008119
412,4,12,East Godavari,GANGAVARAM2,Gangavaram2,631,GANGAVARAM (EAST GODAVARI),192,0.067776,2,0.000014,17,0.006001,2,0.000706,102,0.193852,13,0.004589
105,1,5,Srikakulam,GANGUVARISIGADAM,Ganguvarisigadam,560,GANGUVARI SINGADAM,1,0.000353,180,0.00126,142,0.050126,4,0.001412,447,0.64839,8,0.002824
621,6,21,Krishna,GANNAVARAM,Gannavaram,366,GANNAVARAM,25,0.008825,214,0.001498,3,0.001059,6,0.002118,33,1.550762,0,0
229,2,29,Vizianagaram,GANTYADA,Gantyada,588,GANTYADA,3,0.001059,984,0.006888,158,0.055774,36,0.012708,265,0.87281,14,0.004942
120,1,20,Srikakulam,GARA,Gara,591,GARA,1,0.000353,96,0.000672,32,0.011296,11,0.003883,182,0.308308,3,0.001059
222,2,22,Vizianagaram,GARIVIDI,Garividi,571,GARIVIDI,13,0.004589,1464,0.010248,325,0.114725,25,0.008825,192,0.648181,12,0.004236
1213,12,13,Anantapur,GARLADINNE,Garladinne,33,GARLADINNE,20,0.00706,653,0.004571,184,0.064952,14,0.004942,4,0.091685,28,0.009884
205,2,5,Vizianagaram,GARUGUBILLI,Garugubilli,501,GARUGUBILLI,0,0,560,0.00392,2,0.000706,9,0.003177,53,0.149022,0,0
631,6,31,Krishna,GHANTASALA,Ghantasala,391,GHANTASALA,0,0,27,0.000189,0,0,0,0,0,0,0,0
836,8,36,Prakasam,GIDDALUR,Giddalur,303,GIDDALURU,117,0.041301,856,0.005992,97,0.034241,52,0.018356,41,0.356596,44,0.015532
417,4,17,East Godavari,GOKAVARAM,Gokavaram,447,GOKAVARAM,71,0.025063,663,0.004641,20,0.00706,0,0,109,0.025989,2,0.000706
408,4,8,East Godavari,GOLLAPROLU,Gollaprolu,422,GOLLAPROLU,0,0,333,0.002331,22,0.007766,0,0,28,0.055538,0,0
315,3,15,Visakhapatnam,GOLUGONDA,Golugonda,480,GOLUGONDA,12,0.004236,403,0.002821,76,0.026828,21,0.007413,110,0.205914,0,0
1320,13,20,Kurnool,GONEGANDLA,Gonegandla,615,GONEGANDLA,40,0.01412,288,0.002016,51,0.018003,3,0.001059,2,0.005063,4,0.001412
1206,12,6,Anantapur,GOOTY,Gooty,593,GOOTY,13,0.004589,1064,0.007448,200,0.0706,16,0.005648,56,1.101763,27,0.009531
